kg,low female,high female,low male,high male
30,133,287,162,282
32,137,295,167,291
34,141,302,172,300
36,144,310,177,309
38,148,317,182,317
40,151,324,187,325
42,154,331,191,334
44,157,337,196,341
46,160,344,200,349
48,163,350,205,357
50,166,356,209,364
52,169,362,213,371
54,171,368,217,379
56,174,374,221,386
58,177,379,225,392
60,179,385,229,399
62,182,390,233,406
64,184,395,237,412
66,187,401,240,419
68,189,406,244,425
70,191,411,248,431
72,194,416,251,437
74,196,420,255,444
76,198,425,258,450
78,200,430,261,455
80,202,435,265,461
82,205,439,268,467
84,207,444,271,473
86,209,448,275,478
88,211,453,278,484
90,213,457,281,489
92,215,461,284,495
94,217,465,287,500
96,219,470,290,506
98,221,474,293,511
100,222,478,296,516
102,224,482,299,521
104,226,486,302,526
106,228,490,305,531
108,230,494,308,536
110,232,497,311,541
112,233,501,314,546
114,235,505,316,551
116,237,509,319,556
118,239,513,322,561
120,240,516,325,566
125,244,525,331,577
130,249,534,338,589
135,252,542,345,600
140,257,551,351,611
145,260,560,357,622
150,264,567,363,633
